gene	SC1	SC2	SC3	SC4	SC5	SC6
ENSG00000000003	798	1159	883	1000	710	712
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	1625	1878	1838	1444	1487	976
ENSG00000000457	297	303	292	233	212	217
ENSG00000000460	432	197	527	122	161	68
ENSG00000000938	3	4	7	5	0	11
ENSG00000000971	34	79	1	1	6	1
ENSG00000001036	818	1205	793	842	843	849
ENSG00000001084	4098	8574	4205	6585	9103	8781
ENSG00000001167	885	1260	1003	920	776	1047
ENSG00000001460	1207	1320	1417	1536	1407	1419
ENSG00000001461	2472	6138	3241	6835	3672	2906
ENSG00000001497	2223	2170	2615	2193	1783	1292
ENSG00000001561	4	59	0	9	0	6
ENSG00000001617	6957	7515	6969	7242	7666	8785
ENSG00000001626	1	6	0	4	3	5
ENSG00000001629	2966	3789	2578	2546	2930	3311
ENSG00000001630	1510	846	1533	1101	1362	562
ENSG00000001631	1024	1203	911	725	866	825
ENSG00000002016	374	176	306	144	225	301
ENSG00000002079	155	133	176	57	53	80
ENSG00000002330	557	584	720	532	584	382
ENSG00000002549	1816	2515	2394	1902	1738	1007
ENSG00000002586	0	0	0	0	1	0
ENSG00000002587	619	232	577	87	465	374
ENSG00000002726	6	104	14	157	9	2
ENSG00000002745	3	2	6	2	12	0
ENSG00000002746	8	17	7	24	8	6
ENSG00000002822	1548	1351	2127	1534	1228	962
ENSG00000002834	11056	17679	13834	15781	13693	6962
ENSG00000002919	867	1200	976	1245	1006	524
ENSG00000002933	44	6	3	3	0	0
ENSG00000003056	3435	3551	3278	3260	2917	2150
ENSG00000003096	110	171	124	104	52	134
ENSG00000003137	407	410	161	379	151	180
ENSG00000003147	378	354	366	259	493	198
ENSG00000003249	368	1538	301	772	687	779
ENSG00000003393	2043	2906	1873	1951	1714	1774
ENSG00000003400	444	547	694	340	514	272
ENSG00000003402	5126	6910	3780	4500	4620	4218
ENSG00000003436	248	294	35	15	79	241
ENSG00000003509	408	536	371	308	334	293
ENSG00000003756	1459	1250	1388	1054	1221	1429
ENSG00000003987	22	41	14	11	16	16
ENSG00000003989	306	105	329	106	548	27
ENSG00000004059	4409	4863	5106	5212	4925	3553
ENSG00000004139	20	55	10	13	8	38
ENSG00000004142	5196	5319	6011	5608	5411	3175
ENSG00000004399	223	358	55	16	45	27
ENSG00000004455	3782	4166	4612	4214	3516	1746
ENSG00000004468	0	0	1	1	2	0
ENSG00000004478	8062	7065	9581	8686	8094	4487
ENSG00000004487	3996	4053	3993	3909	3146	2540
ENSG00000004534	2521	2272	2452	1556	1979	1784
ENSG00000004660	116	111	139	138	217	120
ENSG00000004700	1973	2043	1652	964	1224	1271
ENSG00000004766	630	1052	615	537	734	630
ENSG00000004776	16	17	8	5	3	15
ENSG00000004777	101	51	172	45	63	12
