gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,862.0430779,-0.308195376,0.212243529,-1.452083731,0.146478325,0.546303805
ENSG00000000419,1502.700054,0.160094423,0.219786023,0.728410394,0.466362402,0.836501709
ENSG00000000457,254.9420272,0.017066512,0.254806225,0.066978394,0.946598904,0.98618925
ENSG00000000460,239.3885349,1.327110754,0.396132921,3.350165273,0.000807634,0.018113547
ENSG00000000938,5.262243612,-0.549669682,0.604979497,-0.908575721,0.363574127,0.770712043
ENSG00000000971,17.8517041,-0.337774927,0.59975651,-0.563186763,0.573307715,0.881453856
ENSG00000001036,882.3316186,-0.28892146,0.224666902,-1.285999214,0.198443336,0.620169022
ENSG00000001084,6987.162815,-0.485264807,0.362756033,-1.33771671,0.180988802,0.598996436
ENSG00000001167,976.3614561,-0.346405381,0.240842494,-1.438306732,0.150347043,0.551105632
ENSG00000001460,1388.9109,-0.176233922,0.263449636,-0.6689473,0.503529096,0.854507096
ENSG00000001461,4129.402637,-0.730825314,0.301917673,-2.420611245,0.015494438,0.153832113
ENSG00000001497,2000.825226,0.164303405,0.242321264,0.678039567,0.497746606,0.851221103
ENSG00000001561,11.58059826,-1.816212729,0.607235785,-2.990951413,NA,NA
ENSG00000001617,7586.266969,-0.223370521,0.274484665,-0.813781424,0.415770179,0.806367846
ENSG00000001626,3.221849706,-0.75650407,0.59665225,-1.267914552,0.204828467,NA
ENSG00000001629,3014.375987,-0.257481317,0.258589861,-0.99571312,0.319389554,0.73882591
ENSG00000001630,1128.307094,0.71378083,0.263500937,2.708836024,0.00675197,0.087490069
ENSG00000001631,911.9660112,-0.035126566,0.241843872,-0.145244804,0.884517593,0.972993779
ENSG00000002016,256.4506937,0.333896436,0.385550631,0.866024874,0.386476521,0.786714752
ENSG00000002079,105.565761,0.378521639,0.421474699,0.89808864,0.369138295,0.774848048
ENSG00000002330,549.6368561,0.244920336,0.230911486,1.060667621,0.28884098,0.714885053
ENSG00000002549,1833.871752,0.109510235,0.271231322,0.403752171,0.686394971,0.920207285
ENSG00000002586,0.170370412,0.071942834,0.332044137,0.216666478,0.828468274,NA
ENSG00000002587,391.4503198,0.926732367,0.434093491,2.134868145,0.032771782,0.246309917
ENSG00000002726,45.93549057,-1.919332491,0.587661847,-3.266049175,0.001090593,0.022554779
ENSG00000002745,4.062994262,1.014213358,0.603315701,1.681065744,0.092750145,NA
ENSG00000002746,11.36595558,-0.733748358,0.557966402,-1.315040395,0.188496327,0.60716365
ENSG00000002822,1430.573276,0.260853172,0.269701441,0.967192355,0.333447883,0.749355389
ENSG00000002834,12789.94338,-0.073653031,0.284958355,-0.258469455,0.79604462,0.945431408
ENSG00000002919,945.3283635,-0.076558219,0.288909056,-0.264990721,0.79101661,0.944848283
ENSG00000002933,8.721561709,0.845758917,0.586447103,1.442174261,NA,NA
ENSG00000003056,3038.65938,0.050222317,0.207067894,0.242540339,0.808361503,0.950680278
ENSG00000003096,114.7396931,-0.544719108,0.367104843,-1.483824356,0.137855524,0.530163811
ENSG00000003137,273.1510665,-0.412443498,0.386663275,-1.066673577,0.286119263,0.711937936
ENSG00000003147,334.5218883,0.546534121,0.269235754,2.02994629,0.042361999,0.28589684
ENSG00000003249,728.2089762,-1.078687589,0.357004841,-3.021492894,0.002515315,0.042381576
ENSG00000003393,2007.70013,-0.277891073,0.211350788,-1.314833389,0.188565903,0.607177593
ENSG00000003400,455.3730748,0.453431747,0.275115052,1.648153176,0.099321242,0.454105111
ENSG00000003402,4780.653063,-0.243633148,0.237643234,-1.025205492,0.305266237,0.728990725
ENSG00000003436,151.6860511,-0.344318673,0.607218354,-0.567042598,0.57068524,0.881453856
